Letter    Freq    Freq%    AvgFreq%     Diff  
A        1        1.3        8.2        7.2
B        7        9.3        1.5       -5.5
C        1        1.3        2.8        1.8
D        0        0.0        4.3        4.3
E        4        5.3       12.7        8.7
F        5        6.7        2.2       -2.8
G        1        1.3        2.0        1.0
H        4        5.3        6.1        2.1
I       10       13.3        7.0       -3.0
J        4        5.3        0.2       -3.8
K        7        9.3        0.8       -6.2
L        3        4.0        4.0        1.0
M        4        5.3        2.4       -1.6
N        1        1.3        6.7        5.7
O        3        4.0        7.5        4.5
P        0        0.0        1.9        1.9
Q        0        0.0        0.1        0.1
R        2        2.7        6.0        4.0
S        6        8.0        6.3        0.3
T        7        9.3        9.1        2.1
U        0        0.0        2.8        2.8
V        1        1.3        1.0        0.0
W        2        2.7        2.4        0.4
X        1        1.3        0.2       -0.8
Y        1        1.3        2.0        1.0
Z        0        0.0        0.1        0.1
